idVendas;dscOrdemVendas;qtdUnidadeVendas;vlrVendas;Clientes_idClientes;Produto_idProduto;Funcionario_matFuncionario;datVendas
106;Ordem 106;700;7000.0;40;19;100;06/01/2020
107;Ordem 107;800;8000.0;50;20;110;06/01/2020
108;Ordem 108;900;9000.0;60;21;120;06/01/2020
109;Ordem 109;1000;10000.0;70;22;130;06/01/2020
110;Ordem 110;1100;11000.0;20;23;140;06/01/2020
111;Ordem 111;1200;12000.0;30;24;150;06/01/2020
112;Ordem 112;1300;13000.0;40;25;160;06/01/2020
113;Ordem 113;1400;14000.0;50;26;10;06/01/2020
114;Ordem 114;1500;15000.0;60;27;20;06/01/2020
115;Ordem 115;1600;16000.0;70;28;30;06/01/2020
116;Ordem 116;1700;17000.0;20;29;40;06/01/2020
117;Ordem 117;1800;18000.0;30;30;50;06/01/2020
118;Ordem 118;100;1000.0;40;31;60;06/01/2020
119;Ordem 119;200;2000.0;50;32;70;06/01/2020
120;Ordem 120;1500;15000.0;45;183;100;10/01/2020
121;Ordem 121;1600;16000.0;46;184;110;10/01/2020
122;Ordem 122;1700;17000.0;47;185;120;10/01/2020
123;Ordem 123;1800;18000.0;48;186;130;10/01/2020
124;Ordem 124;100;1000.0;49;187;140;10/01/2020
125;Ordem 125;200;2000.0;50;188;150;10/01/2020
126;Ordem 126;300;3000.0;51;189;160;10/01/2020
127;Ordem 127;400;4000.0;52;190;170;10/01/2020
128;Ordem 128;500;5000.0;53;191;180;10/01/2020
129;Ordem 129;600;6000.0;54;192;190;10/01/2020
130;Ordem 130;700;7000.0;55;193;200;10/01/2020
131;Ordem 131;800;8000.0;56;194;210;10/01/2020
132;Ordem 132;900;9000.0;57;195;220;10/01/2020
133;Ordem 133;1000;10000.0;58;196;200;10/01/2020
134;Ordem 134;1100;11000.0;59;197;210;10/01/2020
135;Ordem 135;1200;12000.0;60;198;220;10/01/2020
136;Ordem 136;1300;13000.0;61;199;200;10/01/2020
137;Ordem 137;1400;14000.0;62;200;210;10/01/2020
138;Ordem 138;1500;15000.0;63;201;220;10/01/2020
139;Ordem 139;1600;16000.0;64;202;10;10/01/2020
140;Ordem 140;1700;17000.0;65;203;180;10/01/2020
141;Ordem 141;1800;18000.0;66;204;190;10/01/2020
142;Ordem 142;100;1000.0;67;205;200;10/01/2020
143;Ordem 143;200;2000.0;68;206;210;10/01/2020
144;Ordem 144;1500;15000.0;69;207;220;10/01/2020
145;Ordem 145;1600;16000.0;70;208;200;10/01/2020
146;Ordem 146;1700;17000.0;65;209;210;10/01/2020
147;Ordem 147;1800;18000.0;66;210;220;10/01/2020
148;Ordem 148;100;1000.0;67;211;200;10/01/2020
149;Ordem 149;200;2000.0;68;212;210;10/01/2020
150;Ordem 150;300;3000.0;69;212;220;10/01/2020
151;Ordem 151;400;4000.0;70;212;170;10/01/2020
152;Ordem 152;500;5000.0;71;212;180;10/01/2020
153;Ordem 153;600;6000.0;72;212;190;10/01/2020
154;Ordem 154;700;7000.0;73;212;200;10/01/2020
155;Ordem 155;800;8000.0;74;212;210;10/01/2020
156;Ordem 156;900;9000.0;75;212;220;10/01/2020
157;Ordem 157;1000;10000.0;76;212;170;10/01/2020
158;Ordem 158;1100;11000.0;77;212;180;10/01/2020
159;Ordem 159;1200;12000.0;78;212;190;10/01/2020
160;Ordem 160;1300;13000.0;79;212;200;10/01/2020
161;Ordem 161;600;6000.0;76;10;230;10/01/2020
162;Ordem 162;700;7000.0;77;10;230;10/01/2020
163;Ordem 163;800;8000.0;78;10;230;10/01/2020
164;Ordem 164;900;9000.0;79;10;230;10/01/2020
165;Ordem 165;100;8000.0;40;10;230;10/01/2020
